"cluster","BvsT1","T1vsT2","BvsT2","B_RvsNR","T1_RvsNR","T2_RvsNR","d_T1_B_RvsNR","d_T2_B_RvsNR","d_T2_T1_RvsNR","mean_d_T1_B_R","mean_d_T1_B_NR","mean_d_T2_B_R","mean_d_T2_B_NR","mean_d_T2_T1_R","mean_d_T2_T1_NR"
"B","0.611","0.193","0.02","0.037","0.328","0.171","0.879","0.114","0.476","-1.096","-0.481","-7.104","-2.177","-6.21","-1.915"
"Baso","0.001","1","0.432","0.792","1","1","0.574","0.61","0.61","-0.416","-0.204","-0.324","-0.07","0.115","0.092"
"CD4_T","0.818","0.432","0.77","0.234","0.064","0.61","0.506","0.257","0.114","-4.535","-0.108","5.56","-4.778","11.409","-1.602"
"CD8_T","0.378","0.232","0.275","0.721","1","0.914","0.799","0.476","0.914","1.289","1.996","2.246","1.511","2.785","1.425"
"cDC1","0.185","0.275","0.275","0.598","0.752","0.476","0.205","0.762","0.352","0.058","-0.455","0.056","-0.002","-0.029","0.243"
"cDC2","0.19","0.846","0.037","0.234","0.646","1","0.574","0.257","0.762","-0.461","-0.101","-0.802","-0.386","-0.283","0.007"
"DNT","0.587","0.906","0.636","0.562","0.959","0.61","1","0.914","0.476","-0.026","-0.128","-1.618","-0.143","-1.584","-0.243"
"DPT","0.818","0.16","0.77","0.383","0.574","0.476","0.959","0.476","0.352","0.024","0.068","0.313","0.62","0.26","0.456"
"GMDSC","0.698","0.695","0.695","0.37","0.646","0.61","1","0.61","0.61","-0.003","0.035","0","-0.11","0.005","-0.146"
"MMDSC_I","0.404","0.232","0.625","0.959","0.879","0.762","0.721","0.476","0.61","0.126","1.346","0.319","-0.27","0.139","-0.941"
"MMDSC_II","0.487","0.922","0.695","0.958","0.833","0.61","1","0.914","0.914","0.045","0.047","-0.09","0.065","-0.178","-0.018"
"MMDSC_III","0.159","0.432","1","0.721","0.879","0.762","0.799","0.914","0.914","0.501","0.04","0.124","0.294","-0.112","-0.192"
"Mono_I","1","0.922","0.557","0.646","0.879","0.61","0.328","0.476","0.257","1.554","-1.996","1.086","-1.226","-1.009","0.789"
"Mono_II","0.842","0.906","0.064","0.833","1","0.748","0.833","0.914","0.914","0.051","0.099","0.143","0.367","-0.084","0.455"
"Mono_III","0.459","0.193","1","0.234","0.646","0.762","0.574","0.61","1","0.401","7.676","-3.497","1.325","-6.164","-3.465"
"Neu","0.017","0.169","1","0.195","0.799","0.914","0.027","0.067","0.61","0.047","-3.725","3.14","-1.235","3.081","-0.1"
"NK_like","0.517","0.322","0.105","0.104","0.027","0.476","0.721","0.352","0.476","3.156","-3.65","1.064","6.383","-2.293","5.625"
"pDC","0.051","0.625","0.232","0.562","0.328","0.171","0.442","0.61","0.476","-0.723","-0.522","-0.595","-0.521","0.223","-0.771"
"UA","0.89","0.232","0.275","0.154","0.328","0.762","0.959","0.171","0.038","0.006","0.064","-0.024","0.354","-0.069","0.3"
